input_length, input_dim, num_hidden, batch_size, learning_rate, train_steps, accuracy
5, 1, 128, 128, 0.001, 10000, 1.0
6, 1, 128, 128, 0.001, 10000, 1.0
7, 1, 128, 128, 0.001, 10000, 0.984375
8, 1, 128, 128, 0.001, 10000, 0.5
9, 1, 128, 128, 0.001, 10000, 0.890625
10, 1, 128, 128, 0.001, 10000, 0.734375
11, 1, 128, 128, 0.001, 10000, 0.734375
12, 1, 128, 128, 0.001, 10000, 0.7265625
13, 1, 128, 128, 0.001, 10000, 0.078125
14, 1, 128, 128, 0.001, 10000, 0.6015625
15, 1, 128, 128, 0.001, 10000, 0.140625
